transaction_id,customer_id,account_number,transaction_type,channel,branch,amount_ngn,balance_after_ngn,transaction_datetime,mean,std,flag_statistical_outlier,hour,flag_off_hours_withdrawal,flag_velocity_transfer_x,transaction_date_only,flag_round_tripping,final_predicted_anomaly,flag_velocity_transfer_y,flag_velocity_transfer,is_flagged_anomaly
TXN0001759,CUST01505,1001901740,Withdrawal,ATM,Pantami,24570.86,136679.75,2025-01-07 04:57:13,75579.15662782955,206001.7785323362,0,4,0,0,2025-01-07,0,0,,0,0
TXN0004996,CUST01505,1001901740,Withdrawal,ATM,Pantami,46149.47,90530.28,2025-01-24 08:20:33,75579.15662782955,206001.7785323362,0,8,0,0,2025-01-24,0,0,,0,0
TXN0002913,CUST01505,1001901740,Withdrawal,ATM,Gombe GRA,20869.99,69660.29,2025-02-01 22:35:13,75579.15662782955,206001.7785323362,0,22,0,0,2025-02-01,0,0,,0,0
TXN0009747,CUST01505,1001901740,Withdrawal,Mobile App,Tudun Wada,68080.32,1579.97,2025-02-07 11:36:57,75579.15662782955,206001.7785323362,0,11,0,0,2025-02-07,0,0,,0,0
TXN0003181,CUST01505,1001901740,Withdrawal,ATM,Tudun Wada,152901.8,-50000.0,2025-02-14 02:07:17,75579.15662782955,206001.7785323362,0,2,1,0,2025-02-14,0,1,,0,0
TXN0009334,CUST01505,1001901740,POS Payment,Mobile App,Gombe GRA,22689.75,-50000.0,2025-03-04 03:10:23,30183.22639744952,201999.3457782681,0,3,0,0,2025-03-04,0,0,,0,0
TXN0006809,CUST01505,1001901740,Deposit,Mobile App,Bauchi Rd,21489.0,-28511.0,2025-04-30 02:09:22,118545.24564193691,208386.5599244788,0,2,0,0,2025-04-30,0,0,,0,0
TXN0007976,CUST01505,1001901740,Deposit,ATM,Gombe GRA,78241.55,49730.55,2025-06-08 01:27:38,118545.24564193691,208386.5599244788,0,1,0,0,2025-06-08,0,0,,0,0
TXN0008016,CUST01505,1001901740,Transfer,USSD,Gombe GRA,71811.73,-22081.18,2025-06-22 20:59:40,117697.78146520145,281258.69534751173,0,20,0,0,2025-06-22,0,0,0.0,0,0
TXN0005920,CUST00677,1005290717,Withdrawal,USSD,Lagos Island,39408.04,130641.64,2025-01-19 10:52:08,75579.15662782955,206001.7785323362,0,10,0,0,2025-01-19,0,0,,0,0
TXN0002884,CUST00677,1005290717,Transfer,USSD,Pantami,165066.3,-34424.66,2025-01-31 19:38:34,117697.78146520145,281258.69534751173,0,19,0,0,2025-01-31,0,0,0.0,0,0
TXN0009054,CUST00677,1005290717,Withdrawal,Mobile App,Pantami,80690.54,-50000.0,2025-04-24 05:00:26,75579.15662782955,206001.7785323362,0,5,0,0,2025-04-24,0,0,,0,0
TXN0002399,CUST01036,1008074037,Deposit,Internet Banking,Pantami,90148.51,372740.31,2025-01-08 01:55:52,118545.24564193691,208386.5599244788,0,1,0,0,2025-01-08,0,0,,0,0
TXN0002483,CUST01036,1008074037,Withdrawal,Mobile App,Kano Central,50652.4,322087.91,2025-01-21 23:30:06,75579.15662782955,206001.7785323362,0,23,0,0,2025-01-21,0,0,,0,0
TXN0003871,CUST01036,1008074037,Withdrawal,Branch,Pantami,50118.65,271969.26,2025-01-27 12:43:33,75579.15662782955,206001.7785323362,0,12,0,0,2025-01-27,0,0,,0,0
TXN0006117,CUST01036,1008074037,POS Payment,Mobile App,Kano Central,15956.98,256012.28,2025-04-23 08:51:43,30183.22639744952,201999.3457782681,0,8,0,0,2025-04-23,0,0,,0,0
TXN0007399,CUST01036,1008074037,POS Payment,Mobile App,Gombe Main,7589.45,248422.83,2025-06-05 21:21:16,30183.22639744952,201999.3457782681,0,21,0,0,2025-06-05,0,0,,0,0
TXN0007310,CUST01036,1008074037,Transfer,ATM,Pantami,142931.34,105491.49,2025-06-11 21:06:13,117697.78146520145,281258.69534751173,0,21,0,0,2025-06-11,0,0,0.0,0,0
TXN0000296,CUST00525,1010047595,POS Payment,Mobile App,Lagos Island,102729.74,378887.67,2025-02-09 22:42:11,30183.22639744952,201999.3457782681,0,22,0,0,2025-02-09,0,0,,0,0
TXN0006088,CUST00525,1010047595,Withdrawal,Internet Banking,Lagos Island,99661.01,279226.66,2025-02-21 07:11:04,75579.15662782955,206001.7785323362,0,7,0,0,2025-02-21,0,0,,0,0
TXN0000595,CUST00525,1010047595,Transfer,Internet Banking,Bauchi Rd,186234.94,92991.72,2025-03-07 02:45:21,117697.78146520145,281258.69534751173,0,2,0,0,2025-03-07,0,0,0.0,0,0
TXN0009100,CUST00525,1010047595,Withdrawal,USSD,Gombe Main,63073.04,29918.68,2025-03-12 20:07:17,75579.15662782955,206001.7785323362,0,20,0,0,2025-03-12,0,0,,0,0
TXN0009427,CUST00525,1010047595,Deposit,Branch,Tudun Wada,123918.9,153837.58,2025-04-06 04:37:48,118545.24564193691,208386.5599244788,0,4,0,0,2025-04-06,0,0,,0,0
TXN0001463,CUST00525,1010047595,Deposit,Internet Banking,Kano Central,49976.14,203813.72,2025-04-28 02:03:27,118545.24564193691,208386.5599244788,0,2,0,0,2025-04-28,0,0,,0,0
TXN0010127,CUST00525,1010047595,Transfer,Branch,Tudun Wada,179351.38,24462.34,2025-06-12 22:54:23,117697.78146520145,281258.69534751173,0,22,0,0,2025-06-12,0,0,0.0,0,0
